                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.49985,                0.51991,                 1.2045,                0.85107,                0.88047,                0.88025,                0.70042,                 0.6752,                0.69221,                  1.505,             0.00069335,             0.00069335,             0.00069335
                    106,                0.51471,                0.53162,                 1.1913,                0.87632,                0.87778,                0.90229,                0.69553,                0.73734,                0.73666,                 1.5783,             0.00068628,             0.00068628,             0.00068628
                    107,                0.50554,                0.53288,                 1.2046,                 0.8396,                0.89444,                0.89587,                0.71357,                0.67977,                0.68047,                 1.5026,              0.0006792,              0.0006792,              0.0006792
                    108,                0.53004,                0.52708,                 1.2078,                0.84964,                0.91164,                0.90118,                 0.6942,                0.68504,                0.71947,                 1.5016,             0.00067213,             0.00067213,             0.00067213
                    109,                0.55527,                0.55221,                 1.2703,                0.84106,                0.91704,                 0.9021,                0.72361,                0.70443,                0.71365,                 1.5128,             0.00066506,             0.00066506,             0.00066506
                    110,                0.48735,                0.48917,                 1.1934,                0.87199,                0.95215,                0.92595,                0.73439,                0.68978,                0.65751,                 1.5044,             0.00065798,             0.00065798,             0.00065798
                    111,                0.53414,                0.54598,                 1.2272,                0.90574,                0.81236,                0.92755,                0.76773,                 0.6543,                0.75755,                 1.4835,             0.00065091,             0.00065091,             0.00065091
                    112,                0.51339,                0.52817,                    1.2,                0.82771,                0.91644,                0.90803,                 0.7453,                0.61396,                0.68537,                 1.4295,             0.00064384,             0.00064384,             0.00064384
                    113,                0.53579,                0.54065,                 1.2254,                0.85267,                0.94715,                0.90194,                0.69727,                0.62712,                0.64485,                 1.4241,             0.00063676,             0.00063676,             0.00063676
                    114,                0.48702,                0.50705,                 1.1864,                0.81445,                0.92933,                0.87268,                0.68137,                0.66916,                0.71004,                 1.5194,             0.00062969,             0.00062969,             0.00062969
                    115,                0.48094,                0.48606,                 1.1782,                0.84574,                0.96111,                0.89068,                0.71172,                0.66286,                0.68239,                 1.5053,             0.00062262,             0.00062262,             0.00062262
                    116,                0.49814,                0.49098,                 1.1868,                0.86104,                0.98287,                0.90646,                0.73528,                0.64577,                0.67925,                 1.4615,             0.00061554,             0.00061554,             0.00061554
                    117,                0.51772,                0.53354,                 1.2105,                0.84202,                0.98333,                0.89546,                0.72269,                0.69089,                0.71221,                 1.5145,             0.00060847,             0.00060847,             0.00060847
                    118,                0.49055,                0.49564,                 1.2065,                0.82439,                0.93373,                0.87095,                0.66272,                0.68839,                0.79645,                 1.5087,             0.00060139,             0.00060139,             0.00060139
                    119,                0.50511,                0.50542,                 1.2181,                0.81877,                0.96489,                0.89095,                0.69689,                 0.6543,                0.74734,                 1.4492,             0.00059432,             0.00059432,             0.00059432
                    120,                0.53415,                0.53421,                 1.2417,                0.84396,                0.97781,                0.90938,                0.72683,                0.61451,                0.62847,                 1.4125,             0.00058725,             0.00058725,             0.00058725
                    121,                 0.4549,                0.48559,                 1.1487,                0.82837,                0.95841,                0.90388,                0.71047,                0.63273,                 0.6708,                 1.4385,             0.00058017,             0.00058017,             0.00058017
                    122,                0.48393,                0.51558,                  1.179,                0.84144,                0.91667,                0.90151,                 0.7211,                 0.6395,                0.67613,                 1.4478,              0.0005731,              0.0005731,              0.0005731
                    123,                0.49985,                  0.532,                 1.2026,                0.83882,                0.91162,                0.90342,                0.70544,                0.69959,                0.66913,                 1.4659,             0.00056603,             0.00056603,             0.00056603
                    124,                0.46958,                0.49603,                 1.1666,                0.84543,                0.93623,                0.89093,                0.71586,                 0.7018,                0.70372,                 1.4622,             0.00055895,             0.00055895,             0.00055895
                    125,                 0.4989,                0.48619,                 1.2053,                0.82725,                0.91125,                0.89413,                0.71098,                0.65998,                0.73568,                 1.4725,             0.00055188,             0.00055188,             0.00055188
                    126,                0.48256,                0.47333,                 1.1652,                0.85194,                0.92218,                0.89255,                0.67967,                0.72104,                0.76274,                 1.5714,             0.00054481,             0.00054481,             0.00054481
                    127,                0.46725,                 0.5078,                 1.1661,                0.79622,                 0.9766,                0.88731,                0.70354,                0.71445,                0.70176,                 1.5805,             0.00053773,             0.00053773,             0.00053773
                    128,                0.47467,                0.46389,                 1.1988,                0.81563,                0.94641,                0.89234,                0.70701,                0.71079,                0.69743,                 1.5662,             0.00053066,             0.00053066,             0.00053066
                    129,                0.43966,                0.45264,                 1.1434,                0.83109,                0.94481,                0.88837,                0.72964,                0.64907,                0.65787,                  1.476,             0.00052359,             0.00052359,             0.00052359
                    130,                0.44891,                0.46437,                 1.1415,                 0.8114,                0.93471,                0.89191,                0.73473,                0.61718,                0.63937,                 1.4479,             0.00051651,             0.00051651,             0.00051651
                    131,                0.44701,                0.44448,                 1.1364,                0.88434,                0.85564,                0.90655,                0.72793,                0.66421,                0.66389,                 1.5063,             0.00050944,             0.00050944,             0.00050944
                    132,                0.47181,                0.48094,                 1.1588,                0.82357,                0.97588,                 0.9064,                0.73293,                0.63828,                0.69816,                  1.472,             0.00050236,             0.00050236,             0.00050236
                    133,                0.49383,                0.47044,                 1.2035,                0.81186,                0.97817,                0.90883,                0.72448,                0.65513,                0.69893,                  1.512,             0.00049529,             0.00049529,             0.00049529
                    134,                0.49115,                0.48274,                 1.1812,                0.86462,                0.91249,                0.88382,                0.70689,                0.69237,                0.69211,                 1.5499,             0.00048822,             0.00048822,             0.00048822
                    135,                0.49511,                0.46792,                 1.1763,                0.86248,                0.91667,                0.91087,                0.72783,                0.68538,                0.65304,                 1.5393,             0.00048114,             0.00048114,             0.00048114
                    136,                  0.447,                0.46524,                 1.1468,                0.82794,                   0.95,                0.90369,                0.72305,                0.64996,                0.64228,                 1.4879,             0.00047407,             0.00047407,             0.00047407
                    137,                0.46986,                0.45882,                 1.1528,                0.85794,                0.94552,                0.92562,                0.72353,                0.64036,                0.62732,                 1.4826,               0.000467,               0.000467,               0.000467
                    138,                0.44611,                0.46259,                 1.1481,                0.86318,                0.95305,                0.90515,                0.72851,                0.62591,                0.57976,                 1.4547,             0.00045992,             0.00045992,             0.00045992
                    139,                0.47125,                 0.4648,                 1.1645,                0.82972,                0.97878,                0.89558,                0.73097,                0.57302,                0.60921,                 1.3856,             0.00045285,             0.00045285,             0.00045285
                    140,                0.46317,                0.45907,                 1.1865,                0.85069,                   0.95,                0.89815,                0.71052,                0.59751,                0.65707,                 1.4088,             0.00044578,             0.00044578,             0.00044578
